Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-06-2018,BE,30,31.5,28.5,151.45,31.5,31.5,30.09,31.5,28.5,7006229,210843973.3,5272
19-06-2018,BE,32.7,33.05,31,31.5,33.05,32.6,32.55,33.05,28.5,2895692,94263896.25,4070
20-06-2018,BE,31.5,32.2,31,32.6,31,31,31.04,33.05,28.5,1115553,34628057.85,2897
21-06-2018,BE,29.45,30,29.45,31,29.45,29.65,29.61,33.05,28.5,2854524,84523980.85,2941
22-06-2018,BE,28.2,29.8,28.2,29.65,29.8,29.45,28.94,33.05,28.2,1612972,46685302.65,2846
25-06-2018,BE,30,30,28.5,29.45,28.8,28.95,28.96,33.05,28.2,365859,10593552,2174
26-06-2018,BE,28.8,29.4,27.55,28.95,29,28.8,28.16,33.05,27.55,493868,13909188.35,2598
27-06-2018,BE,28.3,28.3,27.4,28.8,27.4,27.4,27.64,33.05,27.4,133412,3687756.35,825
28-06-2018,BE,26.05,26.05,26.05,27.4,26.05,26.05,26.05,33.05,26.05,61587,1604341.35,226
29-06-2018,BE,24.75,27.35,24.75,26.05,27.05,26.8,26.16,33.05,24.75,1158865,30318494.65,6689
02-07-2018,EQ,27.2,27.25,22.8,26.8,25.4,25.2,24.94,33.05,22.8,1369795,34157224.2,5274
03-07-2018,EQ,26.95,26.95,24.5,25.2,26.6,26.35,25.82,33.05,22.8,519628,13416582.2,3205
04-07-2018,EQ,26,29.95,25.8,26.35,29.8,29.6,28.1,33.05,22.8,1033451,29037861.2,6363
05-07-2018,EQ,29.8,31.95,28.6,29.6,29.75,29.8,30.54,33.05,22.8,1546192,47220825.55,6516
06-07-2018,EQ,29,30.9,28.85,29.8,30.45,30.35,30.32,33.05,22.8,523472,15872082.75,3042
09-07-2018,EQ,30.45,31.4,29.55,30.35,30.65,30.95,30.9,33.05,22.8,616718,19057915.75,5106
10-07-2018,EQ,30.55,31.85,30.25,30.95,31,31.1,31.14,33.05,22.8,492511,15338719.1,5831
11-07-2018,EQ,31.05,33.4,30.6,31.1,31.85,31.95,32.32,33.4,22.8,1610144,52033617.6,12255
12-07-2018,EQ,31.8,32.9,30.95,31.95,31.15,31.1,31.99,33.4,22.8,524503,16780361.5,4423
13-07-2018,EQ,32.5,32.7,31.2,31.1,31.3,31.45,31.65,33.4,22.8,770830,24399143.75,8032
16-07-2018,EQ,32.4,32.4,30.85,31.45,31.25,31.1,31.59,33.4,22.8,696778,22008967.65,7373
17-07-2018,EQ,31.65,31.85,30.95,31.1,31.5,31.45,31.48,33.4,22.8,557931,17565538.45,2789
